QSB Real Pinning Search (seq+lt) [GPU 0]
  GPU: NVIDIA GeForce RTX 4090 (128 SMs)
  Isomorphic recovery coordinates: xR'=+1
  GTable built on GPU in 0.74s (153175181 points, 9349 MiB total, spot check passed)
  Full suffix: 75 bytes, seq@31, lt@67
  Mode: REAL
  SHA path: per-sequence midstate + one static tail block
  X3 h*h correction cut: off
  Host publication gate: on; C31 approx: off
  L2 persistence: 50 MiB pinned (max 50 MiB, window 128 MiB) ok
  Slot pipeline: 2 in-flight batches, own stream/state/hit buffers per slot
  Pipeline checkpoints: 512 MiB state + 0 MiB tree + 4 MiB roots + 2.01 MiB root tree

  === Search: lt=[500000768,500000897) (129), seq=[0x80000020+], GPU 0 (global 0 of 1) ===
QSB_TRACE seq=2147483680 lt=500000831 ri=0 hash=5b8d3506491c3135e54608041d45223839e52605f1910e6ce51c548db582ff3e
QSB_TRACE seq=2147483680 lt=500000832 ri=0 hash=53df23406cfb1d236092731f8adb626b89404e373aa47d58b92c43cb8a88ddd7
QSB_TRACE seq=2147483680 lt=500000833 ri=0 hash=5852c2f9334c033f9a9109955ae12fa69f2acd755c09b877c7d21e39f998a76d
QSB_TRACE seq=2147483680 lt=500000834 ri=0 hash=1b4e5ea285837d849820c577e5de172af1669d109ef6f3909f97b6941a7673c2
QSB_TRACE seq=2147483680 lt=500000835 ri=0 hash=1eec50c3fd44d069825e724239daa7a62834ddb3da2dc3ce986be33f23df2ce3
QSB_TRACE seq=2147483680 lt=500000836 ri=0 hash=25d115bc4463b1fd632ec660353ec9f1dc02642226278a0ab28b7ded9438c245
QSB_TRACE seq=2147483680 lt=500000837 ri=0 hash=1a7ab32c18ecafa35cf31eeab3acf1e24599d823323c09a082a6ea894450b8c2
QSB_TRACE seq=2147483680 lt=500000838 ri=0 hash=335f2d69b3867cdaee79898be887daef472f15d7ed7a402bcc7a5b8155ff4e4e
QSB_TRACE seq=2147483680 lt=500000839 ri=0 hash=e9f5fa8dec689b5b542a0fcd893d9988d956800ca4e372914b78674206b86de6
QSB_TRACE seq=2147483680 lt=500000840 ri=0 hash=2d3ed5ab5e8bef3a8635a5c4f41a1860b3bee69ba1a5b96c2a0409fd551f4d63
QSB_TRACE seq=2147483680 lt=500000841 ri=0 hash=7bf172fda27311484a2dd0e65d3d588f785389e82e7ea7ad5f5f01afc28a5d5e
QSB_TRACE seq=2147483680 lt=500000842 ri=0 hash=ba276034a823d33cb5851d6c3d92e5b82bf89fb4fa9c82031e0b56fce23803d2
QSB_TRACE seq=2147483680 lt=500000843 ri=0 hash=86f01e8ba54696e8086b5fd9c7a75f3266b5ca1beb4fb4aeefbf0675566151c6
QSB_TRACE seq=2147483680 lt=500000844 ri=0 hash=345d6810f42cdd4726cb003ad1458baf97a67960bbfd6ca1113bb1c8123599ef
