QSB Real Pinning Search (seq+lt) [GPU 0]
  GPU: NVIDIA GeForce RTX 4090 (128 SMs)
  Isomorphic recovery coordinates: xR'=+1
  GTable built on GPU in 0.74s (153175181 points, 9349 MiB total, spot check passed)
  Full suffix: 12 bytes, seq@0, lt@4
  Mode: REAL
  X3 h*h correction cut: off
  Host publication gate: on; C31 approx: off
  L2 persistence: 50 MiB pinned (max 50 MiB, window 128 MiB) ok
  Slot pipeline: 2 in-flight batches, own stream/state/hit buffers per slot
  Pipeline checkpoints: 512 MiB state + 0 MiB tree + 4 MiB roots + 2.01 MiB root tree

  === Search: lt=[500000256,500000513) (257), seq=[0x80000002+], GPU 0 (global 0 of 1) ===
QSB_TRACE seq=2147483650 lt=500000268 ri=0 hash=e23c0fd6e238c66a17e0c4c98d42a37851376faad7fe9e8b0a79f147fe93a903
QSB_TRACE seq=2147483650 lt=500000269 ri=0 hash=6fa7f3a1f9dc21a9bcc7b92df8d219dc1c307ba96ab960aa56b622ebba8ab983
QSB_TRACE seq=2147483650 lt=500000270 ri=0 hash=aaa43ff9249a38c5c542f0558c36de8ff6d6a76168a5164127d72297800475ba
QSB_TRACE seq=2147483650 lt=500000271 ri=0 hash=7780e2b749144771738bc206bdcd75f0dc25d367957767a6334d50c6cd54eedd
QSB_TRACE seq=2147483650 lt=500000272 ri=0 hash=fde4e917b290af000c3f01c63be5976e43faa2847dec2526cc980cb4db064b92
QSB_TRACE seq=2147483650 lt=500000273 ri=0 hash=a6a7dbfea25d248b8fc8a6d888418fe6e1b3f80d3929e83ee8149f7951e062d2
QSB_TRACE seq=2147483650 lt=500000274 ri=0 hash=73b599d1903e298f3ee3d315bbdd4dae7e3a6ce1cd670c1b870b28f81baefe7f
QSB_TRACE seq=2147483650 lt=500000275 ri=0 hash=8c465ec13a3b6947b8d48241f151d550ae41940cef0a0ea365ca267d0cff5255
QSB_TRACE seq=2147483650 lt=500000276 ri=0 hash=42f24b67d95ca5831a9d06444b669461d492543e28c181121666012e94ed2560
QSB_TRACE seq=2147483650 lt=500000277 ri=0 hash=a121486b1e1a1ab1de405ae9a812c21843f1df5679c2e1981141b5871de7d564
QSB_TRACE seq=2147483650 lt=500000278 ri=0 hash=4174282d6f82076a15f83a343fc811d326a565a0d46d96c7ac603c145cc5af9e
QSB_TRACE seq=2147483650 lt=500000279 ri=0 hash=d2126ee8982140bff504640e386620306cced610a4097efca2768126f4e13a64
QSB_TRACE seq=2147483650 lt=500000280 ri=0 hash=96e8178d1d6c8955b3f62f8366021a3f329e3caad03f2264de5ec0b4c5fac2f3
QSB_TRACE seq=2147483650 lt=500000281 ri=0 hash=a1e400db18d98ce888e80823958a9593a99faae043350a61b3b743d4cdd7e84b
QSB_TRACE seq=2147483650 lt=500000282 ri=0 hash=48cf28292e6cba72cda68ff1eb0f084a05a1b38638c0d4c34b805be7ab8dd6d1
QSB_TRACE seq=2147483650 lt=500000283 ri=0 hash=345a4ecbb12989cfd445357296eee4d3fbc971845976bfd0d47eb4a18746470a
QSB_TRACE seq=2147483650 lt=500000284 ri=0 hash=7c27c75cbe61ab2781a4859242b234263fe7014ded6fcffd5f0a59597bc2a473
QSB_TRACE seq=2147483650 lt=500000285 ri=0 hash=bb8325f952c4821ba1b0d24c63c6ef462d7cc914c0285120f0d8733e3fad93ac
QSB_TRACE seq=2147483650 lt=500000286 ri=0 hash=f2e2cb1ad168b462063fca8a81792ca5968750c5e5b47fd9f11fe200c67ca9ca
QSB_TRACE seq=2147483650 lt=500000287 ri=0 hash=5cee34afe6c0244787f9ea9a036a793ea87391fb0eca556c4c61f66577a1328a
QSB_TRACE seq=2147483650 lt=500000288 ri=0 hash=193a17bf1f11bf107af9fff68f09f00ef38eb0e0cdb4c9f5073afa6326153cf8
