QSB Real Pinning Search (seq+lt) [GPU 0]
  GPU: NVIDIA GeForce RTX 4090 (128 SMs)
  Isomorphic recovery coordinates: xR'=+1
  GTable built on GPU in 0.74s (153175181 points, 9349 MiB total, spot check passed)
  Full suffix: 75 bytes, seq@31, lt@67
  Mode: REAL
  SHA path: per-sequence midstate + one static tail block
  X3 h*h correction cut: off
  Host publication gate: on; C31 approx: off
  L2 persistence: 50 MiB pinned (max 50 MiB, window 128 MiB) ok
  Slot pipeline: 2 in-flight batches, own stream/state/hit buffers per slot
  Pipeline checkpoints: 512 MiB state + 0 MiB tree + 4 MiB roots + 2.01 MiB root tree

  === Search: lt=[500000768,500000897) (129), seq=[0x80000020+], GPU 0 (global 0 of 1) ===
QSB_TRACE seq=2147483680 lt=500000840 ri=0 hash=7d45ec6d730980756b6fae3eb642709cc647bafc6bf5c836c29ff6b602fe2819
QSB_TRACE seq=2147483680 lt=500000841 ri=0 hash=0d2b7a4d7c4370c2f12cb334fda69d58db01f0c3b1c3fe597bc7ede7c75e84cc
QSB_TRACE seq=2147483680 lt=500000842 ri=0 hash=b152ab30a0755c1174f2ad3c1bb11da938817e0087343fc051272532c77ab727
QSB_TRACE seq=2147483680 lt=500000843 ri=0 hash=f2b75e518fcfa75d7a4f4a35ec3ead352c5b571645697d8db8c67bf671806219
QSB_TRACE seq=2147483680 lt=500000844 ri=0 hash=97bf09e683d7fa2709159051b44155e67b618bb26e3f7df2bd3367a43de9523f
QSB_TRACE seq=2147483680 lt=500000845 ri=0 hash=7137ab63bb1f6ce6b471f8bfd43b85926f15201810abafd1f8668c6ef834bda4
QSB_TRACE seq=2147483680 lt=500000846 ri=0 hash=dce24ce947f2b1771aa49cf96ca2bb2197ccbbcf1d9999e09cef8287037eb69a
QSB_TRACE seq=2147483680 lt=500000847 ri=0 hash=2e0aa1b6f6bb8a262f69bbe06602fabe096f98d75b18cc8227f55c2fe2c3d0d5
QSB_TRACE seq=2147483680 lt=500000848 ri=0 hash=170a687a6e471fe083a2267d0a110a02e4d9f9964e145e42b8a3dc4ec2fc6169
QSB_TRACE seq=2147483680 lt=500000849 ri=0 hash=73d73f252c7b504b2b228f87d99d42a4bc6ba7a58bb1e8b7520cd63edeb15b79
QSB_TRACE seq=2147483680 lt=500000850 ri=0 hash=5ce97fd0b8737c31fce61f97750138dfb9977529ba5b42a2f96f2fbf6e4b53c1
QSB_TRACE seq=2147483680 lt=500000851 ri=0 hash=b811bc3b808b202a32139a8e180e83b535c86a52b2d1932b248a2860e4d8bf93
QSB_TRACE seq=2147483680 lt=500000852 ri=0 hash=820a9aed96e8ca7a67d7295d25b1a913b87f1532c3f2dcf12d9989097f34b012
QSB_TRACE seq=2147483680 lt=500000853 ri=0 hash=95be67d7c0de20012a318c8afb23d894be7e85ddd1de0ee48234a42bb0b16559
QSB_TRACE seq=2147483680 lt=500000854 ri=0 hash=335b97f1988e6ae82113881c46ae04f6c615dd0d6d9210c58ec3fde2dc3e7254
QSB_TRACE seq=2147483680 lt=500000855 ri=0 hash=2a42ca991cdc0c0ae5c13a24cf939c7ba6f0550c9c2727ee9737be72a25dd3dd
